media_id,date,slug,media_type,mime_type,source_url,alt_text,title,attached_post_id,attached_page_slug
"2492","2025-11-22T05:25:24","fuchsia-and-dark-pink-sip-and-paint-party-invitation-instagram-post-1","image","image/png","https://lamickeyoga.com/wp-content/uploads/2025/11/Fuchsia-and-Dark-Pink-Sip-and-Paint-Party-Invitation-Instagram-Post-1.png","Fuchsia and Dark Pink Sip and Paint Party Invitation Instagram Post (1)","2229",0,""
"2467","2024-03-03T01:02:46","woocommerce-placeholder","image","image/png","https://lamickeyoga.com/wp-content/uploads/woocommerce-placeholder.png","woocommerce-placeholder","null",0,""
"2414","2022-07-29T08:10:28","flyer_en","image","image/png","https://lamickeyoga.com/wp-content/uploads/2022/07/Flyer_En.png","Flyer_En","323",0,""
"2413","2022-07-29T08:10:23","flyer_de","image","image/png","https://lamickeyoga.com/wp-content/uploads/2022/07/Flyer_De.png","Flyer_De","323",0,""
"2380","2022-02-12T11:47:37","whatsapp-image-2022-01-06-at-14-44-52","image","image/jpeg","https://lamickeyoga.com/wp-content/uploads/2022/02/WhatsApp-Image-2022-01-06-at-14.44.52.jpeg","WhatsApp Image 2022-01-06 at 14.44.52","254",0,""
"2269","2021-12-09T20:20:36","placeholder-png-16","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/12/placeholder-13.png","placeholder.png","null",0,""
"2257","2021-12-09T19:47:22","placeholder-png-15","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/12/placeholder-12.png","placeholder.png","null",0,""
"2256","2021-12-09T19:47:22","placeholder-png-14","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/12/placeholder-11.png","placeholder.png","null",0,""
"2255","2021-12-09T19:47:21","placeholder-png-13","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/12/placeholder-10.png","placeholder.png","null",0,""
"2254","2021-12-09T19:47:21","placeholder-png-12","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/12/placeholder-9.png","placeholder.png","null",0,""
"2247","2021-12-09T19:36:53","img_5034_dxo_adobespark","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/12/IMG_5034_DxO_adobespark-scaled.png","IMG_5034_DxO_adobespark","null",0,""
"2241","2021-12-09T19:29:32","img_5252_dxo","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/12/IMG_5252_DxO-scaled.png","IMG_5252_DxO","null",0,""
"2236","2021-12-09T19:27:48","placeholder-png-11","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/12/placeholder-8.png","placeholder.png","null",0,""
"2235","2021-12-09T19:27:14","img_5034_dxo_small","image","image/jpeg","https://lamickeyoga.com/wp-content/uploads/2021/12/IMG_5034_DxO_small.jpg","IMG_5034_DxO_small","null",0,""
"2046","2021-12-05T19:37:57","placeholder-png-10","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/12/placeholder-7.png","placeholder.png","null",0,""
"2045","2021-12-05T19:37:57","placeholder-png-9","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/12/placeholder-6.png","placeholder.png","null",0,""
"2044","2021-12-05T19:37:56","placeholder-png-8","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/12/placeholder-5.png","placeholder.png","null",0,""
"2043","2021-12-05T19:37:36","placeholder-png-7","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/12/placeholder-4.png","placeholder.png","null",0,""
"2042","2021-12-05T19:37:35","placeholder-png-6","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/12/placeholder-3.png","placeholder.png","null",0,""
"2041","2021-12-05T19:37:35","placeholder-png-5","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/12/placeholder-2.png","placeholder.png","null",0,""
"2040","2021-12-05T19:37:34","placeholder-png-4","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/12/placeholder-1.png","placeholder.png","null",0,""
"2039","2021-12-05T19:34:07","placeholder-png-3","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/12/placeholder.png","placeholder.png","null",0,""
"1977","2021-12-01T17:58:42","logo_thin_de","image","image/svg+xml","https://lamickeyoga.com/wp-content/uploads/2021/05/Logo_thin_de.svg","Logo_thin_de","433",0,""
"1954","2021-12-01T17:22:24","in_the_park_white-format2","image","image/jpeg","https://lamickeyoga.com/wp-content/uploads/2021/12/in_the_park_white-format2-e1638379396550.jpg","in_the_park_white-format2","null",0,""
"1837","2021-12-01T16:29:33","atabs","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/12/atabs.png","atabs","254",0,""
"1624","2021-12-01T12:26:48","img_3540","image","image/jpeg","https://lamickeyoga.com/wp-content/uploads/2021/12/IMG_3540-rotated-e1638361837622.jpg","IMG_3540","254",0,""
"1623","2021-12-01T12:23:04","jule","image","image/jpeg","https://lamickeyoga.com/wp-content/uploads/2021/12/jule-e1638361868923.jpg","jule","254",0,""
"1590","2021-12-01T10:20:14","visual_web-2","image","image/jpeg","https://lamickeyoga.com/wp-content/uploads/2021/12/Visual-bg_web.jpg","Visual_web","null",0,""
"1579","2021-12-01T10:06:26","visual_web_bg-turquois","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/12/Visual_web_bg-turquois.png","Visual_web_bg-turquois","null",0,""
"1578","2021-12-01T10:05:51","visual_web_turquoise_mobile","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/12/Visual_web_turquoise_mobile.png","Visual_web_turquoise_mobile","null",0,""
"1574","2021-12-01T09:40:34","jo","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/12/Jo.png","Jo","254",0,""
"1552","2021-12-01T08:52:12","visual_web_bg-turquois_tinified","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/12/Visual_web_bg-turquois_tinified.png","Visual_web_bg-turquois_tinified","null",0,""
"1512","2021-11-30T21:37:21","visual_web","image","image/png","https://lamickeyoga.com/wp-content/uploads/2021/11/Visual_web.png","Visual_web","1213",0,""
