wp_slug,wp_url,seo_title,meta_description,canonical_url,og_title,og_description,og_image
"pricing","https://lamickeyoga.com/pricing/","pricing - Lamicke Yoga","Get Started","https://lamickeyoga.com/pricing/","pricing - Lamicke Yoga","Get Started","https://lamickeyoga.com/wp-content/uploads/2021/11/IMG_6143.jpg"
"my-account","https://lamickeyoga.com/my-account/","My Account - Lamicke Yoga","","","My Account - Lamicke Yoga","","https://lamickeyoga.com/wp-content/uploads/2021/05/infinity_sign_with_jenny.jpg"
"checkout","https://lamickeyoga.com/checkout/","Cart - Lamicke Yoga","","","Cart - Lamicke Yoga","","https://lamickeyoga.com/wp-content/uploads/2021/05/infinity_sign_with_jenny.jpg"
"cart","https://lamickeyoga.com/cart/","Cart - Lamicke Yoga","","","Cart - Lamicke Yoga","","https://lamickeyoga.com/wp-content/uploads/2021/05/infinity_sign_with_jenny.jpg"
"events","https://lamickeyoga.com/events/","Workshops &amp; Events - Lamicke Yoga","“To fall in love with yourself is the first secret to happiness.”","https://lamickeyoga.com/events/","Workshops &amp; Events - Lamicke Yoga","“To fall in love with yourself is the first secret to happiness.”","https://lamickeyoga.com/wp-content/uploads/2025/11/Fuchsia-and-Dark-Pink-Sip-and-Paint-Party-Invitation-Instagram-Post-1.png"
"corporate-yoga","https://lamickeyoga.com/corporate-yoga/","Corporate Yoga - Lamicke Yoga","Incorporating yoga into your employees&#039; lives can improve their mental and physical health. The poses of yoga can help reduce physical pain, workplace stress","https://lamickeyoga.com/corporate-yoga/","Corporate Yoga - Lamicke Yoga","Incorporating yoga into your employees&#039; lives can improve their mental and physical health. The poses of yoga can help reduce physical pain, workplace stress","https://lamickeyoga.com/wp-content/uploads/2021/05/IMG_5686_DxO_small.jpg"
"privacy-policy","https://lamickeyoga.com/privacy-policy/","Privacy Policy - Lamicke Yoga","This Cookie Policy explains what cookies are and how we use them, the types of cookies we use i.e, the information we collect using cookies and how that","https://lamickeyoga.com/privacy-policy/","Privacy Policy - Lamicke Yoga","This Cookie Policy explains what cookies are and how we use them, the types of cookies we use i.e, the information we collect using cookies and how that","https://lamickeyoga.com/wp-content/uploads/2021/05/infinity_sign_with_jenny.jpg"
"impressum","https://lamickeyoga.com/impressum/","impressum - Lamicke Yoga","Impressum Lamicke Yoga Düsseldorfer Landstraße info@lamickeyoga.com +49 1575 1650019","https://lamickeyoga.com/impressum/","impressum - Lamicke Yoga","Impressum Lamicke Yoga Düsseldorfer Landstraße info@lamickeyoga.com +49 1575 1650019","https://lamickeyoga.com/wp-content/uploads/2021/05/infinity_sign_with_jenny.jpg"
"contact","https://lamickeyoga.com/contact/","Contact - Lamicke Yoga","Düsseldorfer Landstraße 47259 Duisburg","https://lamickeyoga.com/contact/","Contact - Lamicke Yoga","Düsseldorfer Landstraße 47259 Duisburg","https://lamickeyoga.com/wp-content/uploads/2021/04/elements-abstract-collection-shapes-X8FYGQG-3.png"
"blog","https://lamickeyoga.com/blog/","Blog - Lamicke Yoga","Blog Recent News From The Blog No post Found No post Found No post Found","https://lamickeyoga.com/blog/","Blog - Lamicke Yoga","Blog Recent News From The Blog No post Found No post Found No post Found","https://lamickeyoga.com/wp-content/uploads/2021/05/infinity_sign_with_jenny.jpg"
"classes","https://lamickeyoga.com/classes/","classes - Lamicke Yoga","Posture Reset:We’ll focus on opening the chest, resetting the neck, and making sure you don&#039;t actually turn into a human pretzel by 5 PM.","https://lamickeyoga.com/classes/","classes - Lamicke Yoga","Posture Reset:We’ll focus on opening the chest, resetting the neck, and making sure you don&#039;t actually turn into a human pretzel by 5 PM.","https://lamickeyoga.com/wp-content/uploads/2021/05/infinity_sign_with_jenny.jpg"
"about","https://lamickeyoga.com/about/","about - Lamicke Yoga","My Philosophy is to encourage you to do something just for yourself.","https://lamickeyoga.com/about/","about - Lamicke Yoga","My Philosophy is to encourage you to do something just for yourself.","https://lamickeyoga.com/wp-content/uploads/2021/04/elements-abstract-collection-shapes-X8FYGQG-2.png"
"home","https://lamickeyoga.com/","Home - Lamicke Yoga","“Things are always working out for me”","https://lamickeyoga.com/","Home - Lamicke Yoga","“Things are always working out for me”","https://lamickeyoga.com/wp-content/uploads/2021/05/infinity_sign_with_jenny.jpg"
