"plugin_file","status","name"
"all-in-one-wp-migration/all-in-one-wp-migration","active","All-in-One WP Migration and Backup"
"contact-form-7/wp-contact-form-7","active","Contact Form 7"
"cookie-law-info/cookie-law-info","active","CookieYes | GDPR Cookie Consent"
"easy-wp-smtp/easy-wp-smtp","active","Easy WP SMTP"
"elementor/elementor","active","Elementor"
"elementor-pro/elementor-pro","active","Elementor Pro"
"elementskit-lite/elementskit-lite","active","ElementsKit Lite"
"envato-elements/envato-elements","active","Envato Elements"
"facebook-for-woocommerce/facebook-for-woocommerce","active","Facebook for WooCommerce"
"file-manager-advanced/file_manager_advanced","active","File Manager Advanced"
"olympus-google-fonts/olympus-google-fonts","active","Fonts Plugin | Use Google Fonts, Adobe Fonts or Upload Fonts"
"forminator/forminator","active","Forminator"
"google-listings-and-ads/google-listings-and-ads","active","Google for WooCommerce"
"happy-elementor-addons/plugin","active","Happy Elementor Addons"
"jetpack/jetpack","active","Jetpack"
"mailpoet/mailpoet","active","MailPoet"
"official-facebook-pixel/facebook-for-wordpress","inactive","Meta pixel for WordPress"
"rjictthtcy/index","inactive","Mr_Entity Wordpress Uploader"
"one-click-demo-import/one-click-demo-import","active","One Click Demo Import"
"pinterest-for-woocommerce/pinterest-for-woocommerce","active","Pinterest for WooCommerce"
"seo-by-rank-math/rank-math","active","Rank Math SEO"
"instagram-feed/instagram-feed","active","Smash Balloon Instagram Feed"
"sticky-header-effects-for-elementor/sticky-header-effects-for-elementor","active","Sticky Header Effects for Elementor"
"zvaykjtmtz/index","inactive","The Unknown Upload"
"yikdlvultx/index","inactive","The Unknown Upload"
"wrjglubnrt/index","inactive","The Unknown Upload"
"dvcoqgunpp/index","inactive","The Unknown Upload"
"dwluauvskb/index","inactive","The Unknown Upload"
"bgozgyuikg/index","inactive","The Unknown Upload"
"tiktok-for-business/tiktok-for-woocommerce","active","TikTok"
"translatepress-multilingual/index","active","TranslatePress - Multilingual"
"updraftplus/updraftplus","active","UpdraftPlus - Backup/Restore"
"w3-total-cache/w3-total-cache","active","W3 Total Cache"
"woocommerce/woocommerce","active","WooCommerce"
"woocommerce-services/woocommerce-services","active","WooCommerce Tax"
"woocommerce-payments/woocommerce-payments","active","WooPayments"
"wp-file-manager/file_folder_manager","active","WP File Manager"
"wpforms-lite/wpforms","active","WPForms Lite"
"wp-mail-smtp/wp_mail_smtp","inactive","WP Mail SMTP"
